end_period_ts,open_interest,volume,price.close,price.close_dollars,price.high,price.high_dollars,price.low,price.low_dollars,price.max,price.max_dollars,price.mean,price.mean_dollars,price.min,price.min_dollars,price.open,price.open_dollars,price.previous,price.previous_dollars,yes_ask.close,yes_ask.close_dollars,yes_ask.high,yes_ask.high_dollars,yes_ask.low,yes_ask.low_dollars,yes_ask.open,yes_ask.open_dollars,yes_bid.close,yes_bid.close_dollars,yes_bid.high,yes_bid.high_dollars,yes_bid.low,yes_bid.low_dollars,yes_bid.open,yes_bid.open_dollars,market
1761710400,36245,13315769,63.0,0.6300,63.0,0.6300,62.0,0.6200,,,62.0,0.6296,,,63.0,0.6300,63.0,0.6300,63,0.6300,63,0.6300,63,0.6300,63,0.6300,62,0.6200,62,0.6200,62,0.6200,62,0.6200,KXNFLGAME-25NOV02JACLV-JAC
1761796800,52985,13315769,62.0,0.6200,63.0,0.6300,61.0,0.6100,,,62.0,0.6258,,,63.0,0.6300,63.0,0.6300,62,0.6200,63,0.6300,62,0.6200,63,0.6300,61,0.6100,62,0.6200,61,0.6100,62,0.6200,KXNFLGAME-25NOV02JACLV-JAC
1761883200,74014,13315769,59.0,0.5900,62.0,0.6200,58.0,0.5800,,,60.0,0.6057,,,62.0,0.6200,62.0,0.6200,59,0.5900,62,0.6200,59,0.5900,62,0.6200,58,0.5800,61,0.6100,58,0.5800,61,0.6100,KXNFLGAME-25NOV02JACLV-JAC
1761969600,97903,13315769,57.0,0.5700,59.0,0.5900,56.0,0.5600,,,57.0,0.5746,,,59.0,0.5900,59.0,0.5900,57,0.5700,60,0.6000,57,0.5700,59,0.5900,56,0.5600,58,0.5800,56,0.5600,58,0.5800,KXNFLGAME-25NOV02JACLV-JAC
1762056000,135043,13315769,57.0,0.5700,57.0,0.5700,56.0,0.5600,,,56.0,0.5695,,,57.0,0.5700,57.0,0.5700,57,0.5700,57,0.5700,57,0.5700,57,0.5700,56,0.5600,56,0.5600,56,0.5600,56,0.5600,KXNFLGAME-25NOV02JACLV-JAC
1761537600,7231,3923082,87.0,0.8700,92.0,0.9200,81.0,0.8100,,,85.0,0.8597,,,85.0,0.8500,85.0,0.8500,86,0.8600,92,0.9200,83,0.8300,85,0.8500,85,0.8500,85,0.8500,80,0.8000,81,0.8100,KXNFLGAME-25NOV02CARGB-GB
1761624000,15594,3923082,88.0,0.8800,89.0,0.8900,85.0,0.8500,,,87.0,0.8766,,,86.0,0.8600,87.0,0.8700,88,0.8800,89,0.8900,86,0.8600,86,0.8600,86,0.8600,88,0.8800,84,0.8400,85,0.8500,KXNFLGAME-25NOV02CARGB-GB
1761710400,23452,3923082,87.0,0.8700,88.0,0.8800,86.0,0.8600,,,87.0,0.8710,,,86.0,0.8600,88.0,0.8800,87,0.8700,88,0.8800,87,0.8700,88,0.8800,86,0.8600,86,0.8600,86,0.8600,86,0.8600,KXNFLGAME-25NOV02CARGB-GB
1761796800,33796,3923082,89.0,0.8900,89.0,0.8900,86.0,0.8600,,,87.0,0.8756,,,87.0,0.8700,87.0,0.8700,89,0.8900,89,0.8900,87,0.8700,87,0.8700,88,0.8800,88,0.8800,86,0.8600,86,0.8600,KXNFLGAME-25NOV02CARGB-GB
1761883200,41074,3923082,88.0,0.8800,89.0,0.8900,87.0,0.8700,,,88.0,0.8829,,,89.0,0.8900,89.0,0.8900,88,0.8800,89,0.8900,88,0.8800,89,0.8900,87,0.8700,88,0.8800,87,0.8700,88,0.8800,KXNFLGAME-25NOV02CARGB-GB
1761969600,63842,3923082,88.0,0.8800,88.0,0.8800,87.0,0.8700,,,87.0,0.8798,,,88.0,0.8800,88.0,0.8800,88,0.8800,88,0.8800,88,0.8800,88,0.8800,87,0.8700,87,0.8700,87,0.8700,87,0.8700,KXNFLGAME-25NOV02CARGB-GB
1762056000,84085,3923082,88.0,0.8800,88.0,0.8800,87.0,0.8700,,,87.0,0.8778,,,88.0,0.8800,88.0,0.8800,88,0.8800,88,0.8800,88,0.8800,88,0.8800,87,0.8700,87,0.8700,87,0.8700,87,0.8700,KXNFLGAME-25NOV02CARGB-GB
1761537600,10124,5569852,16.0,0.1600,19.0,0.1900,10.0,0.1000,,,17.0,0.1791,,,18.0,0.1800,19.0,0.1900,16,0.1600,28,0.2800,15,0.1500,19,0.1900,15,0.1500,19,0.1900,10,0.1000,15,0.1500,KXNFLGAME-25NOV02CARGB-CAR
1761624000,18099,5569852,14.0,0.1400,16.0,0.1600,13.0,0.1300,,,15.0,0.1529,,,16.0,0.1600,16.0,0.1600,15,0.1500,16,0.1600,13,0.1300,16,0.1600,14,0.1400,15,0.1500,11,0.1100,15,0.1500,KXNFLGAME-25NOV02CARGB-CAR
1761710400,32174,5569852,14.0,0.1400,15.0,0.1500,13.0,0.1300,,,14.0,0.1425,,,15.0,0.1500,14.0,0.1400,14,0.1400,15,0.1500,14,0.1400,15,0.1500,13,0.1300,14,0.1400,13,0.1300,14,0.1400,KXNFLGAME-25NOV02CARGB-CAR
1761796800,63044,5569852,12.0,0.1200,14.0,0.1400,12.0,0.1200,,,13.0,0.1305,,,14.0,0.1400,14.0,0.1400,12,0.1200,14,0.1400,12,0.1200,14,0.1400,11,0.1100,13,0.1300,11,0.1100,13,0.1300,KXNFLGAME-25NOV02CARGB-CAR
1761883200,199897,5569852,13.0,0.1300,14.0,0.1400,11.0,0.1100,,,12.0,0.1275,,,12.0,0.1200,12.0,0.1200,13,0.1300,14,0.1400,12,0.1200,12,0.1200,12,0.1200,13,0.1300,11,0.1100,11,0.1100,KXNFLGAME-25NOV02CARGB-CAR
1761969600,305377,5569852,13.0,0.1300,13.0,0.1300,12.0,0.1200,,,12.0,0.1297,,,13.0,0.1300,13.0,0.1300,13,0.1300,14,0.1400,13,0.1300,13,0.1300,12,0.1200,12,0.1200,12,0.1200,12,0.1200,KXNFLGAME-25NOV02CARGB-CAR
1762056000,386942,5569852,13.0,0.1300,13.0,0.1300,12.0,0.1200,,,12.0,0.1297,,,13.0,0.1300,13.0,0.1300,13,0.1300,13,0.1300,13,0.1300,13,0.1300,12,0.1200,12,0.1200,12,0.1200,12,0.1200,KXNFLGAME-25NOV02CARGB-CAR
1761537600,7699,5747017,18.0,0.1800,22.0,0.2200,17.0,0.1700,,,20.0,0.2021,,,21.0,0.2100,21.0,0.2100,18,0.1800,22,0.2200,18,0.1800,21,0.2100,17,0.1700,20,0.2000,8,0.0800,17,0.1700,KXNFLGAME-25NOV02MINDET-MIN
1761624000,15891,5747017,17.0,0.1700,21.0,0.2100,17.0,0.1700,,,19.0,0.1947,,,18.0,0.1800,18.0,0.1800,19,0.1900,21,0.2100,18,0.1800,18,0.1800,17,0.1700,20,0.2000,17,0.1700,17,0.1700,KXNFLGAME-25NOV02MINDET-MIN
1761710400,28933,5747017,19.0,0.1900,21.0,0.2100,18.0,0.1800,,,19.0,0.1957,,,19.0,0.1900,17.0,0.1700,19,0.1900,21,0.2100,19,0.1900,19,0.1900,18,0.1800,20,0.2000,17,0.1700,17,0.1700,KXNFLGAME-25NOV02MINDET-MIN
