end_period_ts,open_interest,volume,price.close,price.high,price.low,price.max,price.mean,price.min,price.open,price.previous,price.previous_dollars,yes_ask.close,yes_ask.close_dollars,yes_ask.high,yes_ask.high_dollars,yes_ask.low,yes_ask.low_dollars,yes_ask.open,yes_ask.open_dollars,yes_bid.close,yes_bid.close_dollars,yes_bid.high,yes_bid.high_dollars,yes_bid.low,yes_bid.low_dollars,yes_bid.open,yes_bid.open_dollars,price.close_dollars,price.high_dollars,price.low_dollars,price.mean_dollars,price.open_dollars,market
1764108000,5206,3981821,20.0,20.0,20.0,,20.0,,20.0,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,18,0.1800,19,0.1900,0.2000,0.2000,0.2000,0.2000,0.2000,KXNFLGAME-25NOV30LVLAC-LV
1764111600,5206,3981821,,,,,,,,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,,,,,,KXNFLGAME-25NOV30LVLAC-LV
1764115200,5356,3981821,19.0,20.0,19.0,,19.0,,20.0,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,0.1900,0.2000,0.1900,0.1997,0.2000,KXNFLGAME-25NOV30LVLAC-LV
1764118800,5416,3981821,20.0,20.0,20.0,,20.0,,20.0,19.0,0.1900,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,0.2000,0.2000,0.2000,0.2000,0.2000,KXNFLGAME-25NOV30LVLAC-LV
1764122400,5488,3981821,20.0,20.0,20.0,,20.0,,20.0,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,0.2000,0.2000,0.2000,0.2000,0.2000,KXNFLGAME-25NOV30LVLAC-LV
1764126000,5488,3981821,,,,,,,,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,,,,,,KXNFLGAME-25NOV30LVLAC-LV
1764129600,5488,3981821,,,,,,,,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,,,,,,KXNFLGAME-25NOV30LVLAC-LV
1764133200,5565,3981821,20.0,20.0,20.0,,20.0,,20.0,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,0.2000,0.2000,0.2000,0.2000,0.2000,KXNFLGAME-25NOV30LVLAC-LV
1764136800,5567,3981821,19.0,20.0,19.0,,19.0,,20.0,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,0.1900,0.2000,0.1900,0.1950,0.2000,KXNFLGAME-25NOV30LVLAC-LV
1764140400,6067,3981821,20.0,20.0,20.0,,20.0,,20.0,19.0,0.1900,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,0.2000,0.2000,0.2000,0.2000,0.2000,KXNFLGAME-25NOV30LVLAC-LV
1764144000,6117,3981821,20.0,20.0,20.0,,20.0,,20.0,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,0.2000,0.2000,0.2000,0.2000,0.2000,KXNFLGAME-25NOV30LVLAC-LV
1764147600,6117,3981821,,,,,,,,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,,,,,,KXNFLGAME-25NOV30LVLAC-LV
1764151200,6123,3981821,20.0,20.0,20.0,,20.0,,20.0,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,0.2000,0.2000,0.2000,0.2000,0.2000,KXNFLGAME-25NOV30LVLAC-LV
1764154800,6123,3981821,,,,,,,,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,,,,,,KXNFLGAME-25NOV30LVLAC-LV
1764158400,6123,3981821,,,,,,,,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,,,,,,KXNFLGAME-25NOV30LVLAC-LV
1764162000,6359,3981821,20.0,20.0,20.0,,20.0,,20.0,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,0.2000,0.2000,0.2000,0.2000,0.2000,KXNFLGAME-25NOV30LVLAC-LV
1764165600,6369,3981821,20.0,20.0,20.0,,20.0,,20.0,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,0.2000,0.2000,0.2000,0.2000,0.2000,KXNFLGAME-25NOV30LVLAC-LV
1764169200,7024,3981821,20.0,20.0,20.0,,20.0,,20.0,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,0.2000,0.2000,0.2000,0.2000,0.2000,KXNFLGAME-25NOV30LVLAC-LV
1764172800,7324,3981821,20.0,20.0,20.0,,20.0,,20.0,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,0.2000,0.2000,0.2000,0.2000,0.2000,KXNFLGAME-25NOV30LVLAC-LV
1764176400,7345,3981821,20.0,20.0,20.0,,20.0,,20.0,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,0.2000,0.2000,0.2000,0.2000,0.2000,KXNFLGAME-25NOV30LVLAC-LV
1764180000,7527,3981821,20.0,20.0,20.0,,20.0,,20.0,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,0.2000,0.2000,0.2000,0.2000,0.2000,KXNFLGAME-25NOV30LVLAC-LV
1764183600,7674,3981821,20.0,20.0,19.0,,19.0,,19.0,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,0.2000,0.2000,0.1900,0.1952,0.1900,KXNFLGAME-25NOV30LVLAC-LV
1764187200,7674,3981821,,,,,,,,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,,,,,,KXNFLGAME-25NOV30LVLAC-LV
1764190800,7722,3981821,20.0,20.0,20.0,,20.0,,20.0,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,0.2000,0.2000,0.2000,0.2000,0.2000,KXNFLGAME-25NOV30LVLAC-LV
1764194400,7837,3981821,20.0,20.0,20.0,,20.0,,20.0,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,0.2000,0.2000,0.2000,0.2000,0.2000,KXNFLGAME-25NOV30LVLAC-LV
1764198000,7887,3981821,20.0,20.0,20.0,,20.0,,20.0,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,0.2000,0.2000,0.2000,0.2000,0.2000,KXNFLGAME-25NOV30LVLAC-LV
1764201600,8018,3981821,20.0,20.0,20.0,,20.0,,20.0,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,0.2000,0.2000,0.2000,0.2000,0.2000,KXNFLGAME-25NOV30LVLAC-LV
1764205200,8705,3981821,20.0,20.0,20.0,,20.0,,20.0,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,0.2000,0.2000,0.2000,0.2000,0.2000,KXNFLGAME-25NOV30LVLAC-LV
1764208800,8789,3981821,20.0,20.0,20.0,,20.0,,20.0,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,0.2000,0.2000,0.2000,0.2000,0.2000,KXNFLGAME-25NOV30LVLAC-LV
1764212400,8859,3981821,20.0,20.0,20.0,,20.0,,20.0,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,0.2000,0.2000,0.2000,0.2000,0.2000,KXNFLGAME-25NOV30LVLAC-LV
1764216000,8881,3981821,20.0,20.0,20.0,,20.0,,20.0,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,0.2000,0.2000,0.2000,0.2000,0.2000,KXNFLGAME-25NOV30LVLAC-LV
1764219600,8881,3981821,19.0,19.0,19.0,,19.0,,19.0,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,KXNFLGAME-25NOV30LVLAC-LV
1764223200,9023,3981821,20.0,20.0,20.0,,20.0,,20.0,19.0,0.1900,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,0.2000,0.2000,0.2000,0.2000,0.2000,KXNFLGAME-25NOV30LVLAC-LV
1764226800,9041,3981821,20.0,20.0,20.0,,20.0,,20.0,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,0.2000,0.2000,0.2000,0.2000,0.2000,KXNFLGAME-25NOV30LVLAC-LV
1764230400,9334,3981821,20.0,20.0,20.0,,20.0,,20.0,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,0.2000,0.2000,0.2000,0.2000,0.2000,KXNFLGAME-25NOV30LVLAC-LV
1764234000,9334,3981821,,,,,,,,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,,,,,,KXNFLGAME-25NOV30LVLAC-LV
1764237600,9334,3981821,,,,,,,,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,,,,,,KXNFLGAME-25NOV30LVLAC-LV
1764241200,9334,3981821,,,,,,,,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,,,,,,KXNFLGAME-25NOV30LVLAC-LV
1764244800,9338,3981821,20.0,20.0,20.0,,20.0,,20.0,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,0.2000,0.2000,0.2000,0.2000,0.2000,KXNFLGAME-25NOV30LVLAC-LV
1764248400,9372,3981821,20.0,20.0,20.0,,20.0,,20.0,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,0.2000,0.2000,0.2000,0.2000,0.2000,KXNFLGAME-25NOV30LVLAC-LV
1764252000,9440,3981821,20.0,20.0,20.0,,20.0,,20.0,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,0.2000,0.2000,0.2000,0.2000,0.2000,KXNFLGAME-25NOV30LVLAC-LV
1764255600,10489,3981821,20.0,20.0,20.0,,20.0,,20.0,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,0.2000,0.2000,0.2000,0.2000,0.2000,KXNFLGAME-25NOV30LVLAC-LV
1764259200,10609,3981821,20.0,20.0,20.0,,20.0,,20.0,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,0.2000,0.2000,0.2000,0.2000,0.2000,KXNFLGAME-25NOV30LVLAC-LV
1764262800,10825,3981821,20.0,20.0,20.0,,20.0,,20.0,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,0.2000,0.2000,0.2000,0.2000,0.2000,KXNFLGAME-25NOV30LVLAC-LV
1764266400,11073,3981821,19.0,20.0,19.0,,19.0,,20.0,20.0,0.2000,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,0.1900,0.2000,0.1900,0.1987,0.2000,KXNFLGAME-25NOV30LVLAC-LV
1764270000,11113,3981821,20.0,20.0,20.0,,20.0,,20.0,19.0,0.1900,20,0.2000,20,0.2000,20,0.2000,20,0.2000,19,0.1900,19,0.1900,19,0.1900,19,0.1900,0.2000,0.2000,0.2000,0.2000,0.2000,KXNFLGAME-25NOV30LVLAC-LV
